Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,Tax_res
Petrorhagia saxifragia,Petrorhagia,"",saxifragia,,,"","",kew-2409382,TRUE,1.1,Accepted,Caryophyllaceae,Petrorhagia,"",saxifraga,"","",(L.) Link,kew-2409382,Accepted,TRUE,FALSE,FALSE,2020-10-09,Species
Petroselinum crispum,Petroselinum,"",crispum,,,"","",kew-2898243,TRUE,1.1,Accepted,Apiaceae,Petroselinum,"",crispum,"","",(Mill.) Fuss,kew-2898243,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Petteria ramentacea,Petteria,"",ramentacea,,,"","",ild-8993,TRUE,1.1,Accepted,Leguminosae,Petteria,"",ramentacea,"","",(Sieber) C.Presl,ild-8993,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Petunia X hybrida Hort. Vilm.-Andr.,Petunia,×,hybrida,,,"",Hort. Vilm.-Andr.,tro-50149605,TRUE,1.1,Accepted,Solanaceae,Petunia,"",hybrida,"","",Vilm.,tro-50149605,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Peucedanum cervaria,Peucedanum,"",cervaria,,,"","",kew-2403403,TRUE,1.1,Accepted,Apiaceae,Peucedanum,"",cervaria,"","",(L.) Cusson ex Lapeyr.,kew-2403403,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Peucedanum officinale,Peucedanum,"",officinale,,,"","",kew-2403662,TRUE,1.1,Accepted,Apiaceae,Peucedanum,"",officinale,"","",L.,kew-2403662,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Peucedanum oreoselinum,Peucedanum,"",oreoselinum,,,"","",kew-2403694,TRUE,1.1,Accepted,Apiaceae,Peucedanum,"",oreoselinum,"","",(L.) Moench,kew-2403694,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Peucedanum ostruthium,Peucedanum,"",ostruthium,,,"","",kew-2403688,TRUE,1.1,Accepted,Apiaceae,Peucedanum,"",ostruthium,"","",(L.) W.D.J.Koch,kew-2403688,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Peucedanum palustre,Peucedanum,"",palustre,,,"","",kew-2403630,TRUE,1.1,Accepted,Apiaceae,Peucedanum,"",palustre,"","",(L.) Moench,kew-2403630,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Peucedanum venetum,Peucedanum,"",venetum,,,"","",kew-2402785,TRUE,1.1,Accepted,Apiaceae,Peucedanum,"",venetum,"","",(Spreng.) W.D.J.Koch,kew-2402785,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Phaeolus schweinitzii,Phaeolus,"",schweinitzii,,,"","","",FALSE,1.1,"","",Phaeolus,"",schweinitzii,,"","","","",TRUE,FALSE,FALSE,2020-10-09,Genus
Phalaris aquatica,Phalaris,"",aquatica,,,"","",kew-433381,TRUE,1.1,Accepted,Poaceae,Phalaris,"",aquatica,"","",L.,kew-433381,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
Phalaris arundinacea,Phalaris,"",arundinacea,,,"","",kew-433393,TRUE,1.1,Accepted,Poaceae,Phalaris,"",arundinacea,"","",L.,kew-433393,Accepted,FALSE,FALSE,FALSE,2020-10-09,Species
